ID,Email,Password Hash,Role,Name,Phone,Created At,Is Active,Clerk ID
cmjoz1dy0002ab24mf6rpfy0q,artist9@example.com,$2a$12$GNXDYv/riBG30gUiGdAzd.8w21YVwkR2HAp693oBiQ7A.VNBBMyCi,ARTIST,Luca Romano,,2025-12-28 00:08:34.009,true,
cmjoz1cbh0023b24mes4g11jo,artist8@example.com,$2a$12$AQi0e1t2BEiczKzyAm3nge6qBHIKcA6VC5gAH0Savf8J0gV7nhJW.,ARTIST,Elena Popov,,2025-12-28 00:08:31.901,true,
cmjoz1awo001wb24mjwyvm1iy,artist7@example.com,$2a$12$tIhY3pCxBTEvT57u.lXo9O7h6ONZ.dMSDacpoM.ThTs7g4QCn2kHy,ARTIST,Ahmed Benali,,2025-12-28 00:08:30.072,true,
cmjoz19f1001pb24m2r9m8tgl,artist6@example.com,$2a$12$7PXJ3oIXHshIMgSQxIjJgO31dd4YHjmUNXvIG4jwZkmGm7IOGVyj6,ARTIST,Maria Santos,,2025-12-28 00:08:28.141,true,
cmjoz182p001ib24m84xdm1rr,artist5@example.com,$2a$12$nTMyEcyWR4WjkuEGkwgJQep2.fqDxUfu0XrYugvaMRa2OvnDfzpsO,ARTIST,Jean-Michel Dubois,,2025-12-28 00:08:26.401,true,
cmjoz16tn001bb24mz3ksaz7p,artist4@example.com,$2a$12$aVpTjsuHYUS0GZJWdSGRROLMiJH1Ur4sVwr.r4cCcGUulNvCPcdia,ARTIST,Isabella Garcia,,2025-12-28 00:08:24.703,true,
cmjoz15ir0014b24mxannzb55,artist3@example.com,$2a$12$ZmGbBvdRID8Fh.gjYiLJ7eqJz1k/WuROfwxhRrUurDtbUupmWbIYO,ARTIST,Yoga Master Ananda,,2025-12-28 00:08:23.091,true,
cmjoz149t000xb24mcok6nyef,artist2@example.com,$2a$12$fovOcX6JEtDv0UkScFDWy.C7r6J3HVijCghaOr8RolGTXIMdH4JGm,ARTIST,Marco Silva,,2025-12-28 00:08:21.473,true,
cmjoz130h000qb24mlt9zk3q3,artist1@example.com,$2a$12$MET3CJJoOeozCmwrTCQCAukr3SsgeaEJB0sEY/QL5SmUI/fD94DzK,ARTIST,Sophie Laurent,,2025-12-28 00:08:19.841,true,
cmjoz11lc000lb24myxvj8ky1,hotel5@example.com,$2a$12$7Mz5YFB7vxY0BJY7EF0OO..h.A7fu.MeTfXfwLifEhJyvGqPIHTjG,HOTEL,Nobu Hotel Ibiza,,2025-12-28 00:08:18,true,
cmjoz106d000gb24m0vvcqym1,hotel4@example.com,$2a$12$Zd2j4sq25zjLrt/jJ43vSemuKZGHhniR02VGkjAYeRe4JszCqEKp2,HOTEL,Palácio Belmonte,,2025-12-28 00:08:16.165,true,
cmjoz0yr8000bb24mqtzuj61e,hotel3@example.com,$2a$12$9l3TXh2WhkZ8CZo9LIjRYecAqe5IvkjAhgl5moybzAHcPAen5YtQ.,HOTEL,La Mamounia,,2025-12-28 00:08:14.324,true,
cmjoz0x8p0006b24mbevf5jxq,hotel2@example.com,$2a$12$QkFxPVate2Pss9U7YdN.2eCSnrrszMnP8FkzkMOUyeRqaqh6x0rYi,HOTEL,Hotel Negresco,,2025-12-28 00:08:12.361,true,
cmjoz0vr70001b24mumqnfsua,hotel1@example.com,$2a$12$1DfBZ7X21N1d/N6QMRmm0e2FfKBU4Kr5c0W40gFDswEi3jpMOsorC,HOTEL,Hotel Plaza Athénée,,2025-12-28 00:08:10.436,true,
cmjoz0v2u0000b24mjq5dwumg,admin@travelart.test,$2a$12$D5VjIlqRJi8MxoDxFXtxo.tK1jRIpu.u6Zl2xj6I.0FZgOsw9LBwi,ADMIN,Admin User,,2025-12-28 00:08:09.557,true,
cmjom3ehq0000rck7ee7k44wd,tes@test.com,$2a$12$B1Q4xFo8CyRyxpPwuvLm8OFRqqrukHw4U5UxAvu/BH9XUz0wHnEiS,ARTIST,test test,+212720155047,2025-12-27 18:06:13.021,true,
test-user-123,testartist@example.com,$2a$12$testhash,ARTIST,Test Artist,+1234567890,2025-12-23 17:39:33.251,true,

